applicationsCount,companyId,companyName,companyUrl,contractType,description,experienceLevel,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,cleaned_description,skills_found
Over 200 applicants,3205573.0,DoorDash,https://www.linkedin.com/company/doordash?trk=public_jobs_topcard-org-name,Internship,"About the Team

The International Analytics team is looking for Data Analysts and Data Scientists to guide measurement, strategy, and tactical decision-making using Advanced Analytics approaches, as we expand our logistics platform across the globe. Data Scientists at DoorDash work to uncover insights and turn them into actionable recommendations, helping drive decisions for the entire organization. Analytics is very integral to all operational areas at DoorDash.

About the Role

Data Science at DoorDash involves diving deeper into our data to solve crucial business problems, ideate & run experiments to solve for insights gleaned from this deep dive and work with a cross-functional team to drive real-world operational change. It is not just about building Machine Learning models and putting them into production. This is a rare operational and actionable data-driven experience.

We solve many exciting challenges from all three sides of our marketplace including customer acquisition, balancing supply and demand, fraud and support, marketing, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos, are excited to build a market from 0 to 1, and have experience using analytics to affect revenue, growth, operations or beyond, we're looking for someone like you!

You're excited about this opportunity because you will…


 * Be a first-class thought partner to our product, business, finance and executive teams and help them make decisions on what's next for DoorDash
 * Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business
 * Build full-cycle analytics experiments, reports, and dashboards using SQL, Python, R, or other scripting and statistical tools
 * Produce recommendations and use statistical techniques and hypothesis testing and other experimentation techniques to validate your findings
 * Provide insights to enable our cross-functional team to understand marketplace dynamics, user behaviours, and long-term trends
 * Identify and measure levers to help move essential metrics and make recommendations
 * Possess excellent stakeholder management skills, know how to effectively collaborate well with strategy, operations, product, finance and engineering and set priorities
 * Be excited to travel to meet with business partners and the teams in each market
   
   

We're excited about you because you have…


 * 3+ years of experience in data analytics, consulting, or related role
 * The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
 * The determination to initiate and lead/own strategic projects to completion with a cross-functional team
 * Experience working with experimentation techniques (A/B testing, Causal Inference) and interpreting hypothesis testing
 * Proficiency in at least one programming language (Python, R,...)
 * Expertise with SQL queries, ETLs, etc…
 * Proficiency in one or more analytics & visualization tools
 * Experience building and training statistical and machine learning models (classifiers, regression models...)
   
   

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees' happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We're committed to growing and empowering a more inclusive community within our company, industry, and cities. That's why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

If you need any accommodations, please inform your recruiting contact upon initial connection.

We use Covey as part of our hiring and / or promotional process for jobs in NYC and certain features may qualify it as an AEDT. As part of the evaluation process we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound on August 21, 2023.

Please see the independent bias audit report covering our use of Covey here.",Entry level,https://ca.linkedin.com/jobs/view/data-science-analytics-international-at-doordash-3830162848?trk=public_jobs_topcard-title,"Toronto, Ontario, Canada",1 month ago,,,2024-02-14,,"Technology, Information and Internet","Data Science, Analytics, International",Engineering and Information Technology,team international analytics team looking data analysts data scientists guide measurement strategy tactical decisionmaking using advanced analytics approaches expand logistics platform across globe data scientists doordash work uncover insights turn actionable recommendations helping drive decisions entire organization analytics integral operational areas doordash role data science doordash involves diving deeper data solve crucial business problems ideate run experiments solve insights gleaned deep dive work crossfunctional team drive realworld operational change building machine learning models putting production rare operational actionable datadriven experience solve many exciting challenges three sides marketplace including customer acquisition balancing supply demand fraud support marketing marketplace efficiency enjoy finding patterns amidst chaos excited build market experience using analytics affect revenue growth operations beyond looking someone like youre excited opportunity firstclass thought partner product business finance executive teams help make decisions whats next doordash use quantitative analysis presentation data see beyond numbers understand drives business build fullcycle analytics experiments reports dashboards using sql python r scripting statistical tools produce recommendations use statistical techniques hypothesis testing experimentation techniques validate findings provide insights enable crossfunctional team understand marketplace dynamics user behaviours longterm trends identify measure levers help move essential metrics make recommendations possess excellent stakeholder management skills know effectively collaborate well strategy operations product finance engineering set priorities excited travel meet business partners teams market excited years experience data analytics consulting related role insight take ambiguous problems solve structured hypothesisdriven datasupported way determination initiate leadown strategic projects completion crossfunctional team experience working experimentation techniques ab testing causal inference interpreting hypothesis testing proficiency least one programming language python r expertise sql queries etls etc proficiency one analytics visualization tools experience building training statistical machine learning models classifiers regression models doordash doordash mission empower local economies shapes team members move quickly learn reiterate order make impactful decisions display empathy range usersfrom dashers merchant partners consumers technology logistics company started doortodoor delivery looking team members help us go company known delivering food company people turn goods doordash growing rapidly changing constantly gives team members opportunity share unique perspectives solve new challenges careers committed supporting employees happiness healthiness overall wellbeing providing comprehensive benefits perks including premium healthcare wellness expense reimbursement paid parental leave commitment diversity inclusion committed growing empowering inclusive community within company industry cities thats hire cultivate diverse teams people backgrounds experiences perspectives believe true innovation happens everyone room table tools resources opportunity excel need accommodations please inform recruiting contact upon initial connection use covey part hiring promotional process jobs nyc certain features may qualify aedt part evaluation process provide covey job requirements candidate submitted applications began using covey scout inbound august please see independent bias audit report covering use covey,"['python', 'sql', 'machine learning', 'excel']"
Over 200 applicants,101205064.0,Why Hiring,https://www.linkedin.com/company/whyhiring?trk=public_jobs_topcard-org-name,Full-time,"At Why Hiring, we believe in the power of connecting talented individuals with incredible remote job opportunities. Our mission is to simplify the job search process and empower professionals to find fulfilling roles that align with their skills and passions, regardless of geographical constraints. Why Hiring is setting the benchmark in both permanent and contract recruitment for Tech clients.




We are looking for a junior data scientist for our client. The ideal candidate will be in driving data-driven decisions by collecting and analyzing data, developing database and system designs, and implementing data security measures. This role focuses on enhancing the data capabilities to improve business solutions and systems operations.




Requirements

 * Education: Bachelor’s degree in STEM (Science, Technology, Engineering, Mathematics) or related field.
 * Experience: 1-3 years of experience in data science or related areas.




Skills:

 * Basic understanding of data collection and analysis techniques.
 * Familiarity with database design and management.
 * Initial exposure to system design and development.
 * Knowledge of data security and privacy principles.
 * Ability to research and apply technical information in developing software solutions.
 * Proficiency in troubleshooting and implementing maintenance procedures for software and systems.




Personal Attributes: Strong analytical skills, detail-oriented, proactive in learning new technologies, excellent problem-solving abilities, and effective communication skills.




Responsibilities

 * Gather user requirements and document these needs for project planning.
 * Develop clear and logical specifications based on user requirements.
 * Design and develop databases that meet project and user needs.
 * Employ technical knowledge to design, develop, test, and improve computer-based systems.
 * Create and modify data models and database management systems for efficient data processing.
 * Plan and coordinate the development, installation, and integration of computer-based systems.
 * Offer advice on information system strategies, policy, management, and service delivery based on project needs.
 * Evaluate and advise on the application of database management tools.
 * Assess risks to data, software, and hardware security and develop mitigation strategies.
 * Develop data administration policies and standards to ensure data integrity.
 * Formulate and implement policies and procedures for software development life cycle, focusing on security and quality assurance.




Application Process: Our recruitment team will review all applications thoroughly. Candidates who best match the position requirements will be contacted for the next phase of the selection process, which may include online assessments and virtual or in-person interviews.",Entry level,https://ca.linkedin.com/jobs/view/junior-data-scientist-at-why-hiring-3863817533?trk=public_jobs_topcard-title,Canada,1 day ago,,,2024-03-20,,Staffing and Recruiting,Junior Data Scientist,Engineering and Information Technology,hiring believe power connecting talented individuals incredible remote job opportunities mission simplify job search process empower professionals find fulfilling roles align skills passions regardless geographical constraints hiring setting benchmark permanent contract recruitment tech clients looking junior data scientist client ideal candidate driving datadriven decisions collecting analyzing data developing database system designs implementing data security measures role focuses enhancing data capabilities improve business solutions systems operations requirements education bachelors degree stem science technology engineering mathematics related field experience years experience data science related areas skills basic understanding data collection analysis techniques familiarity database design management initial exposure system design development knowledge data security privacy principles ability research apply technical information developing software solutions proficiency troubleshooting implementing maintenance procedures software systems personal attributes strong analytical skills detailoriented proactive learning new technologies excellent problemsolving abilities effective communication skills responsibilities gather user requirements document needs project planning develop clear logical specifications based user requirements design develop databases meet project user needs employ technical knowledge design develop test improve computerbased systems create modify data models database management systems efficient data processing plan coordinate development installation integration computerbased systems offer advice information system strategies policy management service delivery based project needs evaluate advise application database management tools assess risks data software hardware security develop mitigation strategies develop data administration policies standards ensure data integrity formulate implement policies procedures software development life cycle focusing security quality assurance application process recruitment team review applications thoroughly candidates best match position requirements contacted next phase selection process may include online assessments virtual inperson interviews,['excel']
Over 200 applicants,12446.0,Circle K,https://ca.linkedin.com/company/circle-k?trk=public_jobs_topcard-org-name,Full-time,"Responsibilities/Accountabilities


 * Develop advanced analytics and predictive models from design through implementation in the areas of pricing and promotion, marketing, merchandising, and other areas of the business as needed
 * Participate in the research of analytical methods to find or advance solutions to business problems
 * Clearly and concisely explain complex analytical findings to non-analytical peers and business leaders
 * Create analytic datasets in collaboration with data engineering teams that involves data querying, cleaning, transformation, and feature engineering. Define requirements and test cases for Data validation and monitoring
 * Author programming code (e.g., SQL, Python, R, spark) to assemble and analyze data, following/establishing/enhancing organizational standards and coding practices including code management (i.e. Documentation, use of Git Hub). Lead and participate in peer code reviews for QA/QC/standards compliance.
 * Train/Mentor other team members, provide developmental support where necessary
 * Follow defined project management processes. Actively participate in project plan development and agile ceremonies (development of backlog, sprint planning, daily standups, retros/reviews) and documentation.
   
   

Knowledge, Skills And Other Qualifications Required


 * Demonstrated knowledge of SQL, R and Python;
 * Experience querying large datasets using SparkSQL or PySpark;
 * Experience with ML frameworks such as scikit-learn, Tensorflow, Keras, Pytorch, etc.;
 * Exposure with software development practices, object-oriented principles and test automation;
 * Exposure to version control systems such as Git – experience preferred
 * Experience with cloud-based analytics environments (Azure, AWS or GCP);
 * Experience applying operational research, statistical and machine learning techniques such as regression, time series forecasting, clustering, optimization, etc.;
 * Exposure to agile methodologies using project planning and tracking management tools e.g., JIRA; experience preferred
 * Strong problem-solving skills including problem spotting and problem scoping;
 * Strong interpersonal skills, including the ability to communicate the business benefits of analytics;
 * Availability to travel up to 10% of the time
 * Hybrid schedule with a minimum three days in the office
   
   

Education/Training Required


 * Bachelor’s degree required, preferably with a quantitative focus (Statistics, Business Analytics, Data Science, Math, Economics, etc.)
 * Master’s degree preferred
 * Internships / experience in data science or related roles preferred
 * Masters degree / Bachelors + internship experience in a data science/advanced analytics role, or demonstrated ability to perform job functions via academic project/internship experience
   
   

Circle K values diversity in the workplace and encourages applications from the following designated groups: women, aboriginal peoples, persons with disabilities and members of visible minorities. We are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. Accommodations are available on request in all aspects of the selection process.

R405703

",Entry level,https://ca.linkedin.com/jobs/view/associate-data-scientist-at-circle-k-3836004321?trk=public_jobs_topcard-title,"Toronto, Ontario, Canada",1 month ago,Kelsea Lookedoo,https://www.linkedin.com/in/kelsea-lookedoo-7851b9211,2024-02-21,,Retail,Associate Data Scientist,Engineering and Information Technology,responsibilitiesaccountabilities develop advanced analytics predictive models design implementation areas pricing promotion marketing merchandising areas business needed participate research analytical methods find advance solutions business problems clearly concisely explain complex analytical findings nonanalytical peers business leaders create analytic datasets collaboration data engineering teams involves data querying cleaning transformation feature engineering define requirements test cases data validation monitoring author programming code eg sql python r spark assemble analyze data followingestablishingenhancing organizational standards coding practices including code management ie documentation use git hub lead participate peer code reviews qaqcstandards compliance trainmentor team members provide developmental support necessary follow defined project management processes actively participate project plan development agile ceremonies development backlog sprint planning daily standups retrosreviews documentation knowledge skills qualifications required demonstrated knowledge sql r python experience querying large datasets using sparksql pyspark experience ml frameworks scikitlearn tensorflow keras pytorch etc exposure software development practices objectoriented principles test automation exposure version control systems git experience preferred experience cloudbased analytics environments azure aws gcp experience applying operational research statistical machine learning techniques regression time series forecasting clustering optimization etc exposure agile methodologies using project planning tracking management tools eg jira experience preferred strong problemsolving skills including problem spotting problem scoping strong interpersonal skills including ability communicate business benefits analytics availability travel time hybrid schedule minimum three days office educationtraining required bachelors degree required preferably quantitative focus statistics business analytics data science math economics etc masters degree preferred internships experience data science related roles preferred masters degree bachelors internship experience data scienceadvanced analytics role demonstrated ability perform job functions via academic projectinternship experience circle k values diversity workplace encourages applications following designated groups women aboriginal peoples persons disabilities members visible minorities committed providing employment accommodation accordance ontario human rights code accessibility ontarians disabilities act accommodations available request aspects selection process r,"['python', 'sql', 'aws', 'azure', 'machine learning', 'tensorflow', 'pytorch', 'spark']"
62 applicants,2648012.0,TV2 Consulting,https://www.linkedin.com/company/tv2-consulting?trk=public_jobs_topcard-org-name,Contract," * python and geospatial analytics experience required
 * Data analytics, using geospatial predictive modeling, and traditional data analytics
 * Some NLP work that will need to perform some NER, summarization, and sentiment analysis
 * requires working with our internal datasets using geospatial manipulation libraries, dashboarding libraries (dash, flask, matplotlib) and some ML/AI libraries (numpy, pandas, scikit, etc)
 * Python development data processing/ETL, API development and pipeline automation
 * assist with on-going competitive use cases and cloud environment issues when required
   
   

Benefits


 * Work hours are Monday - Friday, normal 37.5 hours weeks working onsite up to 5 days a week
 * Location: Onsite in Toronto
 * Type of job: Temporary Contractor
 * Hourly contract rate: $70-85 per hour CAD depending on experience
 * Date candidate required: Immediate
 * Length of Contract: 12 months with the possibility of extension",Entry level,https://ca.linkedin.com/jobs/view/data-scientist-at-tv2-consulting-3846043861?trk=public_jobs_topcard-title,"Toronto, Ontario, Canada",1 month ago,,,2024-02-08,,"Technology, Information and Internet",Data Scientist,Engineering and Information Technology,python geospatial analytics experience required data analytics using geospatial predictive modeling traditional data analytics nlp work need perform ner summarization sentiment analysis requires working internal datasets using geospatial manipulation libraries dashboarding libraries dash flask matplotlib mlai libraries numpy pandas scikit etc python development data processingetl api development pipeline automation assist ongoing competitive use cases cloud environment issues required benefits work hours monday friday normal hours weeks working onsite days week location onsite toronto type job temporary contractor hourly contract rate per hour cad depending experience date candidate required immediate length contract months possibility extension,"['python', 'nlp']"
Over 200 applicants,86813252.0,LTIMindtree,https://in.linkedin.com/company/ltimindtree?trk=public_jobs_topcard-org-name,Full-time,"About Us:

LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.




Job Title:

Associate Principal - Data Sciences




Work Location

Canada Markham, Ontario




Job Description:

Data Scientist

Data scientists use statistical methods to collect and organize data. Problem-solving skills. Data scientists must devise solutions to the problems they encounter in data collection and cleaning and in developing statistical models and algorithms. Data scientists examine which questions need answering and where to find the related data. They must possess business acumen and analytical skills as well as the ability to mine, clean, and present data.

Must be hands-on coding capable in at least a core Language skill of Python Expertise in working with Distributed DW and Cloud Services (like Snowflake, AWS etc.) via scripted pipelines for at least 5 years Solid grasp of database engineering and design Leveraged frameworks & orchestration as required for ETL pipeline Identify bottlenecks and bugs in the system and develop scalable solutions Unit Test & Document deliverables Capacity to successfully manage a pipeline of duties with minimal supervision.



• Experience with AWS suite of Services/Resources

• Agile framework

• CICD Pipeline Orchestration

• Building data pipelines (ETL) and using tools like Apache Spark

• Frontend/Interactive Visualizations - Streamlit, Plotly

• Programming Languages - Python, SQL, OOP - Object Oriented Programming

• ML Frameworks/Open Source Libraries - scikit-learn, TensorFlow, PyTorch, Keras and others • Experience with Data Science Lifecycle - Acquisition, data processing, building models, optimization, deployment and maintenance

• MLOps Frameworks - working with model inferences and endpoints Container Orchestration - Docker, Kubernetes (working with Kubernetes) As a Machine Learning Engineer, build and maintain large scale ML Infrastructure and ML pipelines. Contribute to building advanced analytics, machine learning platform and tools to enable both prediction and optimization of models. Extend existing ML Platform and frameworks for scaling model training & deployment.

• Considerable years of experience in developing ML infrastructure and MLOps in the Cloud using AWS Sagemaker.

• Extensive experience working with machine learning models with respect to deployment, inference, tuning, and measurement required.

• Experience with building data pipelines in getting the data required to build and evaluate ML models, using tools like Apache Spark or other distributed data processing frameworks. • Data movement technologies (ETL/ELT), Messaging/Streaming Technologies (AWS SQS, Kinesis/Kafka), Relational and NoSQL databases (DynamoDB, EKS, Graph database), API and in-memory technologies.

• Strong knowledge of developing highly scalable distributed systems using Open-source technologies.

• Experience with CI/CD tools (e.g., Jenkins or equivalent), version control (Git), orchestration/DAGs tools (AWS Step Functions, Airflow, Luigi, Kubeflow, or equivalent).

• Solid experience in Agile methodologies (Kanban and SCRUM). Skills must have

• Must have strong technical design and analysis skills.

• Must have the ability to deal with ambiguity and work in fast paced environment.

• Must have experience supporting critical applications.

• Must be familiar with applied data science methods, feature engineering and machine learning algorithms.

• Must have Data wrangling experience with structured, semi-structure and unstructured data.

• Must have experience building ML infrastructure, with an eye towards software engineering.

• Must have excellent communication skills, both through written and verbal channels.

• Must have excellent collaboration skills to work with multiple teams in the organization.

• Must be able to understand and adapt to changing business priorities and technology advancements in Big data and Data Science ecosystem.




Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):




Benefits and Perks:

 1. Comprehensive Medical Plan Covering Medical, Dental, Vision
 2. Short Term and Long-Term Disability Coverage
 3. 401(k) Plan with Company match
 4. Life Insurance
 5. Vacation Time, Sick Leave, Paid Holidays
 6. Paid Paternity and Maternity Leave




The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.




Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.




LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.




Safe return to office:

In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.",Mid-Senior level,https://ca.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3841325185?trk=public_jobs_topcard-title,"Markham, Ontario, Canada",3 weeks ago,Reshma Shameer,https://in.linkedin.com/in/reshma-shameer-378358167,2024-02-29,"$120,000.00-$150,000.00",IT Services and IT Consulting,Data Scientist,Information Technology,us ltimindtree global technology consulting digital solutions company enables enterprises across industries reimagine business models accelerate innovation maximize growth harnessing digital technologies digital transformation partner clients ltimindtree brings extensive domain technology expertise help drive superior competitive differentiation customer experiences business outcomes converging world powered nearly talented entrepreneurial professionals across countries ltimindtree larsen toubro group company combines industryacclaimed strengths erstwhile larsen toubro infotech mindtree solving complex business challenges delivering transformation scale information please visit wwwltimindtreecom job title associate principal data sciences work location canada markham ontario job description data scientist data scientists use statistical methods collect organize data problemsolving skills data scientists must devise solutions problems encounter data collection cleaning developing statistical models algorithms data scientists examine questions need answering find related data must possess business acumen analytical skills well ability mine clean present data must handson coding capable least core language skill python expertise working distributed dw cloud services like snowflake aws etc via scripted pipelines least years solid grasp database engineering design leveraged frameworks orchestration required etl pipeline identify bottlenecks bugs system develop scalable solutions unit test document deliverables capacity successfully manage pipeline duties minimal supervision experience aws suite servicesresources agile framework cicd pipeline orchestration building data pipelines etl using tools like apache spark frontendinteractive visualizations streamlit plotly programming languages python sql oop object oriented programming ml frameworksopen source libraries scikitlearn tensorflow pytorch keras others experience data science lifecycle acquisition data processing building models optimization deployment maintenance mlops frameworks working model inferences endpoints container orchestration docker kubernetes working kubernetes machine learning engineer build maintain large scale ml infrastructure ml pipelines contribute building advanced analytics machine learning platform tools enable prediction optimization models extend existing ml platform frameworks scaling model training deployment considerable years experience developing ml infrastructure mlops cloud using aws sagemaker extensive experience working machine learning models respect deployment inference tuning measurement required experience building data pipelines getting data required build evaluate ml models using tools like apache spark distributed data processing frameworks data movement technologies etlelt messagingstreaming technologies aws sqs kinesiskafka relational nosql databases dynamodb eks graph database api inmemory technologies strong knowledge developing highly scalable distributed systems using opensource technologies experience cicd tools eg jenkins equivalent version control git orchestrationdags tools aws step functions airflow luigi kubeflow equivalent solid experience agile methodologies kanban scrum skills must must strong technical design analysis skills must ability deal ambiguity work fast paced environment must experience supporting critical applications must familiar applied data science methods feature engineering machine learning algorithms must data wrangling experience structured semistructure unstructured data must experience building ml infrastructure eye towards software engineering must excellent communication skills written verbal channels must excellent collaboration skills work multiple teams organization must able understand adapt changing business priorities technology advancements big data data science ecosystem benefitsperks listed may vary depending nature employment ltimindtree ltim benefits perks comprehensive medical plan covering medical dental vision short term longterm disability coverage k plan company match life insurance vacation time sick leave paid holidays paid paternity maternity leave range displayed job posting reflects minimum maximum salary target position across us locations within range individual pay determined work location job level additional factors including jobrelated skills experience relevant education training depending position offered forms compensation may provided part overall compensation like annual performancebased bonus sales incentive pay forms bonus variable compensation disclaimer compensation benefits information provided herein accurate date posting ltimindtree equal opportunity employer committed diversity workplace employment decisions made without regard race color creed religion sex including pregnancy childbirth related medical conditions gender identity expression national origin ancestry age familycare status veteran status marital status civil union status domestic partnership status military service handicap disability history handicap disability genetic information atypical hereditary cellular blood trait union affiliation affectional sexual orientation preference characteristic protected applicable federal state local law except considerations bona fide occupational qualifications permitted law safe return office order comply ltimindtree company covid vaccine mandate candidates must able provide proof full vaccination covid date hire alternatively one may submit request reasonable accommodation ltimindtrees covid vaccination mandate approval accordance applicable state federal law date hire request subject review ltimindtrees applicable processes,"['python', 'sql', 'aws', 'machine learning', 'tensorflow', 'pytorch', 'spark', 'excel']"
82 applicants,10250977.0,Acerta,https://ca.linkedin.com/company/acerta-systems-analytics?trk=public_jobs_topcard-org-name,Full-time,"Help us transform precision manufacturing!




Acerta is on a mission to understand the digital thread of data for every vehicle. Our customers are global automakers and suppliers who make complex parts that power all kinds of vehicles. We're currently focused on helping manufacturers make better parts more efficiently using machine learning and artificial intelligence (ML/AI). We've built a predictive quality analytics solution called LinePulse to help them make better day-to-day decisions. LinePulse arms them with actionable insights so they can proactively address quality issues before they impact production. Sometimes, our customers want help with problems in the vehicle instead of quality issues in their manufacturing plants. That's OK, too because we also use ML/AI to create unique solutions for specific on-road challenges.




As an integral part of the Machine Learning team at Acerta, you will productize, deploy, maintain, and monitor machine learning models running behind Acerta’s LinePulse and Professional Services If you're ready to make a huge difference in the automotive and off-highway industries, come join our team.




Requirements:




• Minimum of 3 - 5 years of experience using Python

• Experience with deploying DS solutions to production

• Experience with Docker, Kubernetes and Non-relational databases.

• Ability to work in a fast-paced agile environment

• Experience using Git in a team environment

• Flexibility to adjust to changing priorities, requirements, and schedules

• Familiarity with working on remote linux instances




Responsibilities:




• Own significant product requirements and drive them from development to deployment

• Tune and monitor machine learning models deployed for customers.

• Research and apply state of the art in model interpretation and explainability

• Package development in Acerta’s Codebase




Key Competencies:




• Ability to work in a fast-paced agile environment

• Action-oriented

• Collaborative

• Customer-focused

• Detail-oriented

• Excellent analytical skills

• Experience with time-series and operations data.

• Flexibility to adjust to changing priorities, requirements, and schedules.

• Influence without authority

• Innovative

• Pragmatic

• Problem solver

• Process minded

• Resourceful

• Strong oral and written communication

• Team player




We're committed to a diverse and inclusive workplace and strongly encourage applicants from all backgrounds and walks of life. Come join us.",Mid-Senior level,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-acerta-3842239328?trk=public_jobs_topcard-title,"Greater Toronto Area, Canada",3 weeks ago,Aniketh Pradhan,https://ca.linkedin.com/in/aniketh-pradhan-571245222,2024-02-28,"CA$130,000.00-CA$160,000.00",Motor Vehicle Manufacturing,Machine Learning Engineer,Engineering and Information Technology,help us transform precision manufacturing acerta mission understand digital thread data every vehicle customers global automakers suppliers make complex parts power kinds vehicles currently focused helping manufacturers make better parts efficiently using machine learning artificial intelligence mlai weve built predictive quality analytics solution called linepulse help make better daytoday decisions linepulse arms actionable insights proactively address quality issues impact production sometimes customers want help problems vehicle instead quality issues manufacturing plants thats ok also use mlai create unique solutions specific onroad challenges integral part machine learning team acerta productize deploy maintain monitor machine learning models running behind acertas linepulse professional services youre ready make huge difference automotive offhighway industries come join team requirements minimum years experience using python experience deploying ds solutions production experience docker kubernetes nonrelational databases ability work fastpaced agile environment experience using git team environment flexibility adjust changing priorities requirements schedules familiarity working remote linux instances responsibilities significant product requirements drive development deployment tune monitor machine learning models deployed customers research apply state art model interpretation explainability package development acertas codebase key competencies ability work fastpaced agile environment actionoriented collaborative customerfocused detailoriented excellent analytical skills experience timeseries operations data flexibility adjust changing priorities requirements schedules influence without authority innovative pragmatic problem solver process minded resourceful strong oral written communication team player committed diverse inclusive workplace strongly encourage applicants backgrounds walks life come join us,"['python', 'machine learning', 'excel']"
